"ym","anomaly"
194502,-1.18
194503,-1.36
194504,-0.89
194505,-0.58
194506,1.61
194507,-1.03
194508,0.61
194509,-0.51
194510,-1
194511,0.24
194512,1.22
194601,1.34
194602,0.16
194603,-2.32
194604,-2.23
194605,-0.41
194606,-2.06
194607,0.33
194608,-0.35
194609,-0.67
194610,-1.24
194611,1.62
194612,0.52
194701,1.25
194702,-0.18
194703,-0.62
194704,-1.28
194705,0.99
194706,-0.25
194707,-0.29
194708,-0.69
194709,-0.36
194710,-1.28
194711,-1.74
194712,-1.25
194801,-2.3
194802,0.61
194803,-1.94
194804,-1.16
194805,-1.88
194806,-0.32
194807,-1.15
194808,0.06
194809,0.18
194810,-0.92
194811,-0.22
194812,0.59
194901,-1.2
194902,-1.68
194903,-0.45
194904,-2.04
194905,-1.33
194906,-2.23
194907,-0.24
194908,-0.24
194909,-0.35
194910,0.06
194911,-1.13
194912,-0.23
195001,-0.4
195002,-1.59
195003,-0.71
195004,-0.93
195005,-0.13
195006,-0.36
195007,1.34
195008,-0.2
195009,0.54
195010,-0.93
195011,-1.28
195012,0.3
195101,-0.47
195102,-0.26
195103,1.01
195104,-2.57
195105,-0.84
195106,0.84
195107,-0.03
195108,-1.64
195109,0.66
195110,-0.75
195111,-0.55
195112,-0.21
195201,1.61
195202,-0.69
195203,-0.2
195204,-1.55
195205,-0.96
195206,-0.16
195207,-0.72
195208,-0.11
195209,-0.15
195210,-0.75
195211,-1.68
195212,-0.28
195301,-0.71
195302,-2.07
195303,0.46
195304,0.75
195305,-0.66
195306,-0.48
195307,-0.16
195308,-1.13
195309,-0.2
195310,-0.71
195311,-0.81
195312,1.03
195401,-0.54
195402,-2.37
195403,-1.16
195404,0.82
195405,-0.75
195406,-0.25
195407,0.61
195408,0.58
195409,-0.13
195410,0.03
195411,-0.27
195412,-0.01
195501,-0.08
195502,-0.3
195503,0.65
195504,0.36
195505,-1.4
195506,0.44
195507,-0.86
195508,0.12
195509,0.45
195510,-0.13
195511,-1.71
195512,-2.1
195601,-1.59
195602,-0.36
195603,0.07
195604,-0.98
195605,-1.22
195606,-0.94
195607,0.03
195608,-1.7
195609,-1.89
195610,-2.43
195611,-2.87
195612,-1.51
195701,0.05
195702,-0.66
195703,-1
195704,0.26
195705,-1.14
195706,2.48
195707,-1.49
195708,0
195709,-0.54
195710,0.36
195711,0.57
195712,1.99
195801,-0.22
195802,-0.57
195803,0.03
195804,1.08
195805,1.93
195806,0.06
195807,-0.04
195808,0.52
195809,-1.71
195810,-0.78
195811,1.01
195812,-0.89
195901,0.44
195902,-0.49
195903,-0.08
195904,-0.07
195905,-0.84
195906,0.24
195907,0.18
195908,0.76
195909,0.16
195910,-1
195911,2.5
195912,-1.31
196001,1.7
196002,-0.44
196003,0.16
196004,-0.06
196005,-1.99
196006,-1.44
196007,0.26
196008,-1.59
196009,-0.51
196010,-0.03
196011,-2.16
196012,-0.12
196101,0.02
196102,-0.44
196103,-0.59
196104,0.42
196105,-1.21
196106,0.14
196107,-0.45
196108,-0.45
196109,0.57
196110,1.85
196111,0.61
196112,-0.15
196201,-0.99
196202,-0.96
196203,-0.59
196204,-0.73
196205,-1.77
196206,1.08
196207,0.87
196208,-0.45
196209,-0.2
196210,-0.96
196211,0.78
196212,-1.27
196301,-1.67
196302,-0.33
196303,0.37
196304,-0.68
196305,0.85
196306,-0.12
196307,-0.69
196308,0.12
196309,-0.08
196310,0.37
196311,-0.69
196312,0.13
196401,-0.62
196402,-1.4
196403,0
196404,0.07
196405,-0.85
196406,-0.03
196407,0.28
196408,-0.25
196409,0.53
196410,-2.19
196411,-0.26
196412,-2.34
196501,-0.88
196502,0.92
196503,0.17
196504,-1.23
196505,0
196506,-0.22
196507,-0.99
196508,0.65
196509,2.17
196510,1.86
196511,0.12
196512,0.99
196601,0.27
196602,-0.71
196603,-0.44
196604,-0.11
196605,-1.33
196606,-0.48
196607,-0.9
196608,-0.64
196609,-0.47
196610,-1.09
196611,-0.29
196612,-0.68
196701,0.26
196702,0.71
196703,-1.66
196704,0.53
196705,0.01
196706,1.95
196707,-0.09
196708,-0.97
196709,-0.13
196710,2.01
196711,0.46
196712,-1.16
196801,0.58
196802,1.18
196803,1.17
196804,1.77
196805,-1.41
196806,-0.73
196807,-1.04
196808,-0.66
196809,-0.88
196810,-0.09
196811,-0.14
196812,-1.01
196901,1.88
196902,0.95
196903,-0.01
196904,-0.51
196905,-0.71
196906,-0.55
196907,1.17
196908,0.92
196909,-2.64
196910,0.81
196911,-1.08
196912,-1.12
197001,-0.99
197002,0.32
197003,-1.5
197004,0.14
197005,-1.64
197006,0.27
197007,-0.57
197008,-0.84
197009,-1.64
197010,-0.16
197011,-0.74
197012,-0.53
197101,-0.41
197102,-0.58
197103,0.67
197104,0.25
197105,-0.65
197106,-0.69
197107,-0.83
197108,-0.25
197109,-0.08
197110,-0.35
197111,-1.76
197112,-0.52
197201,-1.74
197202,-1.63
197203,-0.79
197204,-0.64
197205,0.27
197206,0.15
197207,-0.21
197208,1.1
197209,1.43
197210,0.64
197211,0.28
197212,1.8
197301,2.16
197302,-0.01
197303,-0.02
197304,0.93
197305,0.69
197306,0.52
197307,2.1
197308,0.57
197309,0.85
197310,0.64
197311,-0.52
197312,0.07
197401,-0.68
197402,-1.1
197403,1.05
197404,0.59
197405,0.43
197406,-0.18
197407,0.26
197408,-0.36
197409,-1.73
197410,-1.17
197411,-2.11
197412,-0.57
197501,-1.04
197502,-0.31
197503,-0.99
197504,-0.65
197505,0.87
197506,0.02
197507,2.07
197508,0.19
197509,1.28
197510,-1.09
197511,0.65
197512,0.82
197601,-1.42
197602,-1.07
197603,-0.41
197604,-0.9
197605,-0.43
197606,0
197607,0.1
197608,-0.66
197609,-1.05
197610,-2.18
197611,-1.14
197612,-0.06
197701,-0.06
197702,0.69
197703,-0.7
197704,-1
197705,-0.05
197706,-0.66
197707,-0.83
197708,1.26
197709,-0.52
197710,1.41
197711,1.16
197712,1.04
197801,-0.01
197802,0.31
197803,0.52
197804,-0.59
197805,0.8
197806,-0.05
197807,-0.48
197808,-1.09
197809,-0.77
197810,-1
197811,-0.95
197812,-1.52
197901,2.66
197902,0.49
197903,0.4
197904,-0.08
197905,-0.84
197906,1.31
197907,-0.06
197908,-0.1
197909,0.36
197910,-0.28
197911,1.56
197912,1.82
198001,-0.28
198002,0.54
198003,0.5
198004,1.02
198005,1.17
198006,0.16
198007,0.21
198008,0.87
198009,1.45
198010,1.66
198011,1.91
198012,1.07
198101,2.91
198102,1.9
198103,-0.82
198104,0.87
198105,0.43
198106,-0.07
198107,0.31
198108,-0.64
198109,1.57
198110,0.28
198111,-0.82
198112,0.64
198201,1.64
198202,1.17
198203,0.21
198204,0.07
198205,-0.14
198206,-1.72
198207,-1.14
198208,2.25
198209,0.07
198210,-0.3
198211,2.64
198212,1.56
198301,-0.18
198302,2.79
198303,1.71
198304,-1.7
198305,0.79
198306,-0.31
198307,-0.56
198308,0.23
198309,1.11
198310,0.31
198311,-1.04
198312,-0.18
198401,-2.35
198402,-1.21
198403,-1.51
198404,-0.74
198405,-0.21
198406,0.58
198407,-0.34
198408,0.3
198409,-1.69
198410,-0.41
198411,0.39
198412,-0.42
198501,0.29
198502,-0.09
198503,1.2
198504,-0.01
198505,0.73
198506,-0.72
198507,0.32
198508,0.32
198509,-0.95
198510,-0.2
198511,-0.23
198512,-0.99
198601,-1.17
198602,-0.13
198603,2.02
198604,0.83
198605,0.84
198606,-0.48
198607,0.15
198608,-0.27
198609,0.29
198610,-1.66
198611,-0.62
198612,-1.42
198701,-0.22
198702,0.31
198703,-1.64
198704,0.72
198705,0.17
198706,1.34
198707,-0.36
198708,0.66
198709,0.33
198710,-0.56
198711,0.37
198712,0.42
198801,1.61
198802,-1.45
198803,-0.17
198804,0.43
198805,1.21
198806,0.57
198807,1.43
198808,0.62
198809,1.02
198810,1.92
198811,-0.24
198812,1.16
198901,-1
198902,-0.25
198903,1.04
198904,0.68
198905,1.65
198906,-0.56
198907,-0.37
198908,-1.72
198909,-0.39
198910,-0.14
198911,0.25
198912,0.34
199001,1.52
199002,-0.63
199003,0.92
199004,0.29
199005,0.47
199006,-0.28
199007,0.77
199008,-0.79
199009,0.05
199010,0.18
199011,1.51
199012,2.33
199101,0.92
199102,1.33
199103,0.12
199104,-0.36
199105,0.77
199106,2.71
199107,0.13
199108,0.01
199109,0.29
199110,1.87
199111,0.53
199112,-0.81
199201,-0.88
199202,-0.92
199203,0.92
199204,0.66
199205,0.2
199206,-0.14
199207,0.62
199208,-0.33
199209,-1.24
199210,-0.21
199211,-1.95
199212,-0.88
199301,1.06
199302,0.3
199303,-0.42
199304,1.36
199305,0.98
199306,-0.05
199307,2.21
199308,1.19
199309,0.09
199310,-0.84
